LOCUSTAG,SPECIES,FILENAME,CONTIG_COUNT,TOTAL_LENGTH,MIN,MAX,MEDIAN,MEAN,L50,N50,L90,N90,GC_PERCENT,T2T_SCAFFOLDS,TELOMERE_FWD,TELOMERE_REV
F6D375A1,Aciculoconidium aculeatum,Aciculoconidium_aculeatum_NRRL_YB-4298,235,17702434,2005,996778,15127,75329.51,19,287359,81,43358,37.91,0,0,0
F4FC39BC,Aciculosporium take,Aciculosporium_take_MAFF-241224,2424,58182929,2006,232217,14986,24002.86,403,40981,1434,11295,40.12,1,18,21
F686C401,Acidiella bohemica,Acidiella_bohemica_SYSU_C17045,62,26833561,20887,2085217,152521,432799.37,10,1164001,30,168190,56.88,0,0,10
F65D1F27,Acidomyces sp. 'richmondensis',Acidomyces_sp._richmondensis_FRIK2901,34,29347235,19382,2466138,945651,863153.97,10,1214476,21,839616,49.45,7,15,18
FD430BD2,Sarocladiaceae sp. CBMAI 1973,Acremonium_sp._CBMAI_1973_CBMAI_1973,731,35770678,2014,505591,28324,48933.90,111,88191,403,24341,52.64,0,5,6
F6B21F09,Acremonium sp. FKII-L8-BK-P5,Acremonium_sp._FKII-L8-BK-P5_FKII-L8-BK-P5,76,34437671,2140,2121864,296088,453127.25,12,951391,35,329996,50.06,0,4,0
F289AF5C,Acrocalymma vagum,Acrocalymma_vagum_A21,1463,54986600,2002,753032,9152,37584.83,108,131593,547,15891,47.99,0,4,4
F1CE3959,Acrodontium crateriforme,Acrodontium_crateriforme_169a,15,23104782,54438,2837075,1278406,1540318.80,5,1746009,12,1214626,49.66,13,14,13
F9D4E4C8,Actinomortierella ambigua,Actinomortierella_ambigua_BC1065,1376,37067104,2008,238780,17260,26938.30,235,50971,755,14483,51.02,0,0,0
FAB251FE,Actinomortierella wolfii,Actinomortierella_wolfii_NRRL_6351,752,33828000,2033,534714,23870,44984.04,110,94727,379,23721,46.99,0,1,0
FD969266,Actinomucor elegans,Actinomucor_elegans_CJ-6,27,36533736,43873,4995973,823834,1353101.33,5,3043051,16,633512,36.36,0,8,5
FD68B63E,Aeminium ludgeri,Aeminium_ludgeri_E14,221,22574728,2054,704538,74531,102148.09,39,181365,123,65233,58.57,0,10,9
F9CCCC79,Afroboletus lepidellus,Afroboletus_lepidellus_UT-M0000099,56429,60239942,202,182893,340,1067.54,2323,4823,35844,314,46.90,0,116,144
F165E458,Agaricales sp. HM26-F1,Agaricales_sp._HM26-F1_HM26-F1,178,32238363,2016,2802261,10567,181114.40,10,1023127,36,167860,49.40,0,1,2
F980D92C,Agaricus bisporus,Agaricus_bisporus_H97,13,30417844,1334073,3550205,2323169,2339834.15,5,2550681,11,1688379,46.30,9,11,10
F8F2286A,Agaricus bitorquis,Agaricus_bitorquis_BH01,22,32345193,113555,3210751,1600845,1470236.05,7,2052213,15,718652,46.05,0,2,1
FF9D1BC6,Agaricus blazei,Agaricus_blazei_JA-15036,36,38686133,16523,4294908,955170,1074614.81,8,1826870,21,761195,47.05,1,7,5
FA5C54A1,Agaricus sinodeliciosus,Agaricus_sinodeliciosus_ZRL20160001-S65,58,32482119,2461,5219596,251937,560036.53,7,1466131,24,335261,45.87,0,1,5
F50AC181,Agaricus subrufescens,Agaricus_subrufescens_ABL_49,45,44662661,9716,6080401,107519,992503.58,6,3166853,12,1631491,46.64,0,0,0
FD80AAA3,Agroathelia rolfsii,Agroathelia_rolfsii_GP3,8,37673359,3668911,5786594,4408868,4709169.88,4,4408868,7,4131396,46.44,5,6,7
F3B668AA,Agrocybe chaxingu,Agrocybe_chaxingu_MP-N11,3256,38887762,2002,119174,7667,11943.42,600,18865,2084,5137,50.76,0,2,3
FCCA35C8,Agrocybe cylindracea,Agrocybe_cylindracea_AC9,3790,56488834,501,2738396,2523,14904.71,26,547283,1001,5235,50.20,0,8,3
F8E2FCA9,Agrocybe pediades,Agrocybe_pediades_CBS_102.39,69,45147624,2599,3934073,57044,654313.39,7,2723584,19,520954,48.04,4,13,10
F6D8FC91,Agrocybe praecox,Agrocybe_praecox_KDTOL00396,365,59316098,4000,5036957,17296,162509.86,7,3782526,34,41724,45.40,4,6,9
FDE1693B,Agyrium rufum,Agyrium_rufum_Spribille_39798,239,28047069,5061,849864,70593,117351.75,39,240237,129,64180,48.01,0,15,10
F96731B7,Akanthomyces dipterigenus,Akanthomyces_dipterigenus_MBC_701,1495,33553279,300,346422,7145,22443.66,165,63054,583,13383,53.78,0,10,6
F5D69F67,Akanthomyces lecanii,Akanthomyces_lecanii_RCEF_1005,130,35594087,1015,6903712,3585,273800.67,4,3946369,11,754757,53.09,0,2,2
FEE3DA2F,Akanthomyces muscarius,Akanthomyces_muscarius_Ve6,12,36207525,70100,7450776,3855647,3017293.75,4,4856708,7,2339213,53.01,0,2,3
F7689288,Albatrellus ellisii,Albatrellus_ellisii_MG60,9622,109039536,2001,315605,5315,11332.32,1145,22519,5861,4157,44.74,0,5,6
F647BD20,Albatrellus sp. MG142,Albatrellus_sp._MG142_MG142,50332,59385241,200,77706,373,1179.87,2826,4375,27424,349,48.13,1,17,25
F4132733,Albifimbria verrucaria,Albifimbria_verrucaria_IMI_368023,62,48482211,678,7299398,102976,781971.15,4,5352524,11,1435767,49.33,7,15,7
F87FFEF0,Albophoma yamanashiensis,Albophoma_yamanashiensis_JCM_11844,66,31390562,1001,5152962,5500,475614.58,4,4519820,8,941819,56.66,0,0,0
F8E3EB72,Alectoria fallacina,Alectoria_fallacina,1450,65236659,1315,609344,30359,44990.80,262,75592,873,22160,37.32,0,7,4
F448824E,Alectoria sarmentosa,Alectoria_sarmentosa_MAF-Lich_21536,840,39852859,2015,400628,24979,47443.88,120,93085,457,21384,40.25,0,6,5
F19F3CAE,Allantophomopsis cytisporea,Allantophomopsis_cytisporea_ATCC_66955,19,34966032,150018,2971584,1874391,1840317.47,8,1994825,16,1421531,45.77,1,3,6
FCEF1A0E,Allantophomopsis lycopodina,Allantophomopsis_lycopodina_ATCC_66958,19,33979655,114402,3168841,1818102,1788402.89,8,1918003,16,1442769,45.35,0,3,1
F5FD6588,Alloascoidea africana,Alloascoidea_africana_NRRL_Y-6762-3,465,23700382,503,1244482,1724,50968.56,25,294430,84,74486,42.47,0,0,1
F39431C9,Alloascoidea hylecoeti,Alloascoidea_hylecoeti_JCM_7604,136,24815695,983,2214157,3666,182468.35,9,949999,28,218441,31.08,0,0,0
FC5AD718,Allodekkera sacchari,Allodekkera_sacchari_CBS_14167,206,13278534,511,478335,35353,64458.90,31,138291,90,50053,43.24,0,0,0
FA629528,Allomyces arbusculus,Allomyces_arbusculus_Burma_1F,362,26482826,1017,1040497,14956,73156.98,26,317448,110,47545,61.79,0,5,4
FAFF0595,Allomyces javanicus,Allomyces_javanicus_California_12,763,29927322,1006,604837,13166,39223.23,85,104684,306,25286,62.39,0,1,2
F5BE82F7,Allomyces macrogynus,Allomyces_macrogynus_ATCC_38327,101,57060573,2522,3145054,342643,564956.17,17,1114524,50,357256,56.80,0,18,17
F2942A61,Alternaria alstroemeriae,Alternaria_alstroemeriae_LH_A124,69,35492742,6576,1839925,378761,514387.57,14,867442,41,266192,48.90,0,0,0
FF4CECA3,Alternaria alternarina,Alternaria_alternarina_TB-1129,85,33307802,200,4251855,48831,391856.49,9,1175178,28,331170,51.02,0,4,8
FB6C866B,Alternaria alternata,Alternaria_alternata_SRC1lrK2f,79,32990834,1034,2531235,172133,417605.49,12,1097884,31,330818,51.40,0,4,2
F6B53C57,Alternaria angustiovoidea,Alternaria_angustiovoidea_FKII-L2-CM-DRAB1,110,34177714,2096,6720445,11973,310706.49,7,1397744,24,417913,51.04,0,5,2
FB55235A,Alternaria arborescens,Alternaria_arborescens_FERA_675,325,33943449,503,2068466,3920,104441.38,14,862606,58,100470,51.06,0,3,2
F96AD419,Alternaria arbusti,Alternaria_arbusti_BMP_1465,75,33977964,562,4185700,112120,453039.52,7,1678447,25,262355,52.28,0,3,3
F2D1C788,Alternaria atra,Alternaria_atra_CS162,43,39606256,7342,6982780,116751,921075.72,4,3893166,12,697721,50.44,0,2,2
F117BA10,Alternaria brassicae,Alternaria_brassicae_PNT,10,33821513,50717,8109423,2833046,3382151.30,3,3537936,8,2448495,50.99,7,8,8
F97FA254,Alternaria brassicicola,Alternaria_brassicicola_Abra43,29,31036461,14973,3303516,919312,1070222.79,6,2101997,16,869060,50.85,2,12,8
F7FE95DA,Alternaria burnsii,Alternaria_burnsii_CBS107.38,67,32958128,207,3937226,23801,491912.36,7,1805719,20,399511,50.90,2,15,3
F2098371,Alternaria cf. alternata,Alternaria_cf._alternata_R-IC-06-P1,110,33706137,1003,6437639,12879,306419.43,6,2024098,22,294798,51.02,0,1,0
FA2481EA,Alternaria conjuncta,Alternaria_conjuncta_BMP_0040,175,36109959,502,3173534,2086,206342.62,8,1896824,27,285777,50.38,0,14,10
F800F57A,Alternaria consortialis,Alternaria_consortialis_JCM_1940,23,34240857,1855,4317362,1444982,1488732.91,6,2769894,12,1444982,50.51,2,6,5
F3D7F7A0,Alternaria dauci,Alternaria_dauci_CALB1,65,35741899,602,5201412,7391,549875.37,5,2961539,10,2068340,50.72,1,5,3
F04CEBC8,Alternaria destruens,Alternaria_destruens_LH_A593,69,35492060,2219,2954403,266896,514377.68,11,1091695,36,245117,48.90,0,0,0
F9A5D186,Alternaria ethzedia,Alternaria_ethzedia_BMP_0044,579,36016348,500,2558887,1678,62204.40,13,863783,49,164377,50.43,0,21,5
F0110190,Alternaria gaisen,Alternaria_gaisen_FERA_650,27,34346950,19592,6257968,629968,1272109.26,6,2110033,15,554254,51.14,0,0,7
F8242868,Alternaria gansuensis,Alternaria_gansuensis_LYZ1412,1034,75051934,476,784238,38091,72584.08,146,163781,495,42452,37.24,1,11,10
FA1CD795,Alternaria hordeiaustralica,Alternaria_hordeiaustralica_BMP_2776,188,36958049,501,4604908,5734,196585.37,10,1053854,39,254689,49.90,0,16,11
F81EE144,Alternaria incomplexa,Alternaria_incomplexa_BMP_0042,91,33457300,503,4225085,1848,367662.64,7,1850413,19,406060,52.38,1,4,6
FD741D79,Alternaria infectoria,Alternaria_infectoria_BMP_0036,236,36515125,501,4372689,1848,154725.11,8,1572730,34,241994,50.11,0,18,9
FF09BD07,Alternaria longipes,Alternaria_longipes_CBS_540.94,15,39426105,107073,7868305,2641931,2628407.00,4,3599223,10,2115679,51.01,6,9,9
FBE239EC,Alternaria metachromatica,Alternaria_metachromatica_BMP_0045,189,37283841,510,2553669,6038,197269.00,12,1012319,43,251927,49.80,1,12,12
F54975D0,Alternaria novae-zelandiae,Alternaria_novae-zelandiae_BMP_2774,204,37570309,503,3293888,4865,184168.18,11,1242974,30,253723,49.53,0,12,11
F58820BB,Alternaria oregonensis,Alternaria_oregonensis_DAOMC238619,73,33708848,1082,2690539,245363,461765.04,10,1025028,35,253330,52.33,0,9,11
FCF6EAD3,Alternaria panax,Alternaria_panax_BNCC115425,24,34756390,7100,5441918,308870,1448182.92,4,4172030,9,1495380,51.00,0,7,3
F647A3C6,Alternaria porri,Alternaria_porri_Apn-Nashik,20,32989564,57711,5050666,1549532,1649478.20,5,2657264,12,1104631,51.06,0,9,5
FBD32A45,Alternaria postmessia,Alternaria_postmessia_BMP_2775,374,34096670,2041,1185197,27948,91167.57,34,311356,144,52569,51.06,0,0,0
FF42A38D,Alternaria rosae,Alternaria_rosae_MPI-PUGE-AT-0040,51,33830022,2609,5613983,16712,663333.76,4,3278090,11,939425,52.03,1,1,9
F1B3B896,Alternaria solani,Alternaria_solani_NL03003,10,32779142,1878275,6940169,2771896,3277914.20,4,2866555,9,2309181,51.32,10,10,10
FF34768C,Alternaria sp. 'sect. Undifilum',Alternaria_sp._sect._Undifilum_W740-01,27,74479813,6704,13242267,83032,2758511.59,4,8867609,9,2726173,40.01,4,5,8
F87F2AF1,Alternaria sp. Ai002NY15,Alternaria_sp._Ai002NY15_Ai002NY15,95,36855613,2047,2865728,112062,387953.82,10,1255567,34,320113,49.98,1,11,10
F7781614,Alternaria sp. BMP 0032,Alternaria_sp._BMP_0032_BMP_0032,125,37229068,2177,3053799,32560,297832.54,10,976338,37,256861,49.78,1,15,9
FCCE8A22,Alternaria sp. BMP 2799,Alternaria_sp._BMP_2799_BMP_2799,126,36306623,2128,2812748,36192,288147.80,11,1000369,39,233389,50.29,0,13,8
F8610448,Alternaria sp. DAOMC 225332,Alternaria_sp._DAOMC_225332_DAOMC225332,109,32524795,2588,1997782,146099,298392.61,16,726374,50,198749,52.23,0,7,7
F91A6A25,Alternaria sp. DET2042,Alternaria_sp._DET2042_DET2042,62,36459983,2183,4379998,157168,588064.24,7,1641767,22,518995,50.26,0,6,14
FD3283ED,Alternaria sp. DET2072,Alternaria_sp._DET2072_DET2072,69,36615169,2178,5212891,48725,530654.62,6,2070373,19,401217,50.18,0,15,5
FADB3474,Alternaria sp. DET2103,Alternaria_sp._DET2103_DET2103,65,32947055,2307,2792769,42426,506877.77,8,1640649,20,524880,52.19,0,4,2
F1EA0705,Alternaria sp. DET2104,Alternaria_sp._DET2104_DET2104,65,32750393,2152,2517398,227428,503852.20,10,1313974,26,424469,52.13,0,2,0
F951F178,Alternaria sp. DET2105,Alternaria_sp._DET2105_DET2105,37,33667015,2025,4801304,128139,909919.32,6,2370420,13,1341911,52.31,1,8,12
FA709154,Alternaria sp. DET2106,Alternaria_sp._DET2106_DET2106,46,33787131,549,4829618,30164,734502.85,6,2419528,14,1002371,52.26,1,6,7
FDEBC118,Alternaria sp. DET2107,Alternaria_sp._DET2107_DET2107,70,32733630,2134,2843031,228553,467623.29,9,1458522,28,390811,52.14,0,0,2
F9E564E1,Alternaria sp. KAS5446,Alternaria_sp._KAS5446_KAS5446,148,33326297,2011,2194912,5637,225177.68,11,1053440,32,265131,52.53,0,10,11
F0141B12,Alternaria sp. KAS5449,Alternaria_sp._KAS5449_KAS5449,36,33761285,2075,3385715,472508,937813.47,6,2355419,14,1100417,52.23,2,9,5
F88B0107,Alternaria sp. KAS5470,Alternaria_sp._KAS5470_KAS5470,53,33751205,2895,3015417,335475,636815.19,8,1888051,24,492872,52.23,0,7,11
F788DCCD,Alternaria sp. KAS5474,Alternaria_sp._KAS5474_KAS5474,75,32512702,2362,2119530,248301,433502.69,13,860347,35,287002,52.23,0,5,10
F09002BB,Alternaria sp. KAS5477,Alternaria_sp._KAS5477_KAS5477,29,33616342,5317,5854949,746919,1159184.21,5,2373000,14,807148,52.28,4,10,7
FD81CB66,Alternaria sp. KAS5486,Alternaria_sp._KAS5486_KAS5486,51,33680184,2068,3863450,121994,660395.76,6,2050271,18,580209,52.23,0,6,4
FE1D2668,Alternaria sp. KAS5506,Alternaria_sp._KAS5506_KAS5506,102,33698629,2118,3540761,9856,330378.72,7,1997687,21,390025,52.42,0,6,3
FDDE33B2,Alternaria sp. M3903,Alternaria_sp._M3903_M3903,81,33753251,2087,2986565,58747,416706.80,10,1167323,30,360210,51.06,0,1,1
F56D6058,Alternaria sp. M3908,Alternaria_sp._M3908_M3908,98,33750759,2187,2083543,75880,344395.50,13,909102,36,332068,51.06,0,3,1
FF98C5DC,Alternaria sp. MG1,Alternaria_sp._MG1_MG1,109,34666524,2044,3623138,18746,318041.50,7,1661510,27,340311,49.95,1,7,3
F4111E08,Alternaria sp. S3601,Alternaria_sp._S3601_S3601,64,34231753,2743,3772107,87826,534871.14,7,1457817,23,394305,50.87,0,6,7
F6EE621B,Alternaria sp. SPS-2,Alternaria_sp._SPS-2_SPS-2,37,33398221,2126,4684119,331075,902654.62,6,2610814,15,485249,51.00,0,7,7
F54CF363,Alternaria tenuissima,Alternaria_tenuissima_FERA_1166,22,35704180,109256,3902980,2194253,1622917.27,6,2583941,13,767820,51.08,0,0,3
F899E93D,Alternaria triticimaculans,Alternaria_triticimaculans_BMP_0046,236,36788567,501,5169267,1280,155883.76,7,1666515,30,215594,49.89,0,13,10
FA0F0CD6,Alternaria triticina,Alternaria_triticina_DAOMC238612,191,34641617,1080,1959065,18139,181369.72,15,696913,55,171149,51.28,0,0,0
F7746CC6,Alternaria ventricosa,Alternaria_ventricosa_BMP_2768,89,34687354,515,3015217,24589,389745.55,9,1329355,27,354758,51.38,2,7,17
F773377F,Alternaria viburni,Alternaria_viburni_BMP_2772,188,36351886,511,2602721,7104,193361.10,12,1053821,37,257922,50.27,0,13,12
F6C7908F,Alyxoria varia,Alyxoria_varia_Spribille_s.n._20.09.2020_TS-e1968,124,25324207,6316,1073079,156659,204227.48,25,348177,75,115849,50.00,0,3,8
FB348870,Amanita bisporigera,Amanita_bisporigera_Ingham01,10390,75346262,1000,84164,3818,7251.81,1579,13906,6023,2922,43.18,0,39,49
FE0DD6EA,Amanita brunnescens,Amanita_brunnescens_Koide_BX004,5972,36016155,900,248386,2402,6030.84,621,12963,3399,2022,48.88,0,4,6
F0A03C30,Amanita exitialis,Amanita_exitialis_LH00005,129,49118549,1243,4698837,42981,380763.95,7,3025964,27,296766,46.59,0,0,0
F7E3887E,Amanita fuliginea,Amanita_fuliginea_LH00002,35,60225502,23191,5898599,843386,1720728.63,7,3461821,16,1258523,44.56,0,0,1
F97183DC,Amanita inopinata,Amanita_inopinata_Kibby_2008,881,20082689,894,2213939,2139,22795.33,26,140420,199,15941,48.11,0,1,1
F36CABC3,Amanita jacksonii,Amanita_jacksonii,4516,30856360,200,504181,1991,6832.67,238,25739,1694,3167,46.73,0,4,1
FA685757,Amanita molliuscula,Amanita_molliuscula_LH00009,155,71175040,558,3180309,212591,459193.81,21,1053316,83,188356,46.50,0,0,0
F092CD58,Amanita muscaria,Amanita_muscaria_Koide_BX008,1101,40699759,1011,1491530,5757,36966.18,54,168151,306,21539,41.86,0,1,0
F4C75376,Amanita pallidorosea,Amanita_pallidorosea_LH00007,246,57854386,223,2246582,128589,235180.43,34,537462,113,145062,46.01,0,0,0
F958615C,Amanita phalloides,Amanita_phalloides,605,35514831,913,1833728,9163,58702.20,24,320321,157,34993,45.75,0,1,1
F4A89037,Amanita polypyramis,Amanita_polypyramis_BW_CC,999,19670722,882,482988,5840,19690.41,76,64128,392,9680,47.68,0,0,1
FA234F74,Amanita pseudoporphyria,Amanita_pseudoporphyria_MG37,17345,52485497,200,74867,1280,3025.97,2029,7168,8501,1324,45.94,0,17,16
F3C410A9,Amanita rimosa,Amanita_rimosa_LH00003,134,45347215,1349,1811650,192337,338412.05,23,697900,74,162745,45.99,0,0,3
F9FFFFCA,Amanita rubescens,Amanita_rubescens_Prilba,817,76593165,1992,1667397,47000,93749.28,102,158644,516,37886,47.30,0,1,0
F2E2A438,Amanita subjunquillea,Amanita_subjunquillea_LH00001,119,53204488,2746,2832323,255134,447096.54,18,838703,65,240927,46.53,0,0,0
F424AB2E,Amanita thiersii,Amanita_thiersii_SKay4041,1446,33689220,1003,1038040,7702,23298.22,95,77057,630,9313,44.58,0,0,2
FE1053B4,Amauroascus niger,Amauroascus_niger_UAMH_3544,1860,34965481,2002,564389,5116,18798.65,77,114233,842,5602,47.92,0,2,4
F900CCC1,Amauroascus verrucosus,Amauroascus_verrucosus_UAMH_3576,3075,30376016,500,836833,1437,9878.38,40,217754,784,3183,44.88,0,2,7
FB219AA8,Amauroderma rugosum,Amauroderma_rugosum_ACCC_51706,31,40655687,1491,5159471,83559,1311473.77,5,3647844,11,2050041,50.91,7,12,12
F9F7649B,Ambispora gerdemannii,Ambispora_gerdemannii_MT106,19363,87965881,501,96668,1985,4542.99,2133,10266,10757,1707,28.22,2,105,105
F71D2AD7,Ambispora leptoticha,Ambispora_leptoticha_FL130A,58506,197202035,501,99479,1818,3370.63,8639,5886,35981,1355,23.62,0,86,82
FFA10D02,Ambrosiella beaveri,Ambrosiella_beaveri_CBS_121753,196,27124847,520,979995,85707,138392.08,29,291932,97,86763,47.50,0,10,7
FFBC5073,Ambrosiella cleistominuta,Ambrosiella_cleistominuta_CBS_141682,1284,27084340,202,555497,320,21093.72,73,108394,268,23534,46.80,0,8,10
F7080087,Ambrosiella xylebori,Ambrosiella_xylebori_CBS_110.61,39,27201902,1016,4324498,132529,697484.67,5,1859748,13,608407,46.35,0,5,5
FD173A44,Ambrosiozyma ambrosiae,Ambrosiozyma_ambrosiae_NRRL_Y-7524,108,14791786,502,1038917,48325,136960.98,12,366569,40,102389,32.52,0,0,0
F9B8AE0B,Ambrosiozyma angophorae,Ambrosiozyma_angophorae_NRRL_Y-7118,222,12054867,501,778780,3269,54301.20,15,269477,56,50462,31.60,0,0,1
F223FFD1,Ambrosiozyma cicatricosa,Ambrosiozyma_cicatricosa_NRRL_Y-17594T,1744,23266441,422,169109,3400,13340.85,211,36430,657,9348,37.74,0,2,1
F011C435,Ambrosiozyma kamigamensis,Ambrosiozyma_kamigamensis_NRRL_Y-63629,1475,19176771,501,324780,1967,13001.20,88,59429,424,7273,28.56,0,2,5
F97E0C66,Ambrosiozyma kashinagicola,Ambrosiozyma_kashinagicola_JCM_15019,23,12320962,1046,1922986,324105,535694.00,4,1369417,11,430679,36.13,0,1,0
F3CA2D9F,Ambrosiozyma llanquihuensis,Ambrosiozyma_llanquihuensis_NRRL_Y-17657,551,13544540,502,491408,4414,24581.74,36,103886,168,14658,38.04,0,3,1
F6F46717,Ambrosiozyma maleeae,Ambrosiozyma_maleeae_NRRL_Y-63635,41,12673120,2410,1450014,217050,309100.49,7,668977,21,217050,43.76,0,0,0
F8CF5BA2,Ambrosiozyma monospora,Ambrosiozyma_monospora_JCM_7599,118,24978438,1049,1689531,77914,211681.68,15,679229,43,155399,37.18,0,0,0
F522CD09,Ambrosiozyma neoplatypodis,Ambrosiozyma_neoplatypodis_NRRL_Y-63630,1763,18833552,501,293646,1227,10682.67,105,52344,415,6501,27.68,0,3,2
F7BE696F,Ambrosiozyma oregonensis,Ambrosiozyma_oregonensis_NRRL_Y-6106,123,14887147,2052,719706,50841,121033.72,17,334567,53,76468,30.89,0,0,0
FEC3FC83,Ambrosiozyma philentoma,Ambrosiozyma_philentoma_NRRL_Y-7523,98,17399174,2035,1123419,75075,177542.59,12,547646,41,104788,35.03,0,2,0
FA733804,Ambrosiozyma platypodis,Ambrosiozyma_platypodis_NRRL_Y-6732,333,16279223,312,855041,2179,48886.56,23,196169,77,58527,35.01,0,0,0
FFFFA448,Ambrosiozyma pseudovanderkliftii,Ambrosiozyma_pseudovanderkliftii_NRRL_Y-63632,199,14375358,507,561584,2605,72237.98,20,239702,58,83191,35.60,0,1,2
F8EAC89D,Ambrosiozyma vanderkliftii,Ambrosiozyma_vanderkliftii_NRRL_Y-63633,297,14491520,504,451283,17413,48793.00,38,115710,119,35963,35.36,0,3,0
FC761306,Amesia nigricolor,Amesia_nigricolor_F5,23,31024310,3055,6274173,52339,1348883.04,3,4645178,7,2961936,56.59,5,5,10
F9E7F636,Amniculicola lignicola,Amniculicola_lignicola_CBS_123094,510,49576578,1002,1718517,12392,97208.98,36,438754,132,84224,47.02,0,23,13
F8E7AE41,Amoeboradix gromovi,Amoeboradix_gromovi_X-113,1022,10326891,2011,95616,7367,10104.59,227,13800,724,4761,36.26,0,0,0
F7B2FC32,Amorphotheca resinae,Amorphotheca_resinae_ATCC_22711,32,28632918,2016,4111889,16576,894778.69,6,1980626,12,1329131,47.33,8,12,12
F8902A33,Ampelomyces quisqualis,Ampelomyces_quisqualis_BRIP_72107,24,40378121,2200,3909471,2436247,1682421.71,6,2994887,12,2436247,45.54,7,10,10
F470390A,Amphiamblys sp. WSBS2006,Amphiamblys_sp._WSBS2006_WSBS2006,1727,5620147,202,85208,976,3254.28,114,12035,748,1217,50.22,0,1,0
F4D7945E,Amphirosellinia nigrospora,Amphirosellinia_nigrospora_JS-1675,18,48177783,1675,13810936,252870,2676543.50,2,11779755,5,1535216,43.80,1,1,4
FA79BEBB,Amylocarpus encephaloides,Amylocarpus_encephaloides_TRa018bII,2381,46286790,1000,419988,3434,19440.06,168,74588,754,9745,44.86,0,23,31
FF584383,Amylocystis lapponica,Amylocystis_lapponica_SKaAmylap13,801,35500685,1007,998953,11688,44320.46,63,160229,344,14208,54.47,0,2,6
FBE9B343,Amyloporia xantha,Amyloporia_xantha_YAFMF0618,60,46808119,54580,4691474,462493,780135.32,10,1480651,37,321224,51.54,1,12,10
FA8D86EB,Amylostereum areolatum,Amylostereum_areolatum_HG-01,248,57567124,365,3099494,78976,232125.50,23,731813,95,127384,54.40,0,4,4
FEF92505,Amylostereum chailletii,Amylostereum_chailletii_DWAch2,2032,38204724,1002,396323,8299,18801.54,238,43122,984,8725,51.11,0,10,5
F76F2617,Anaeromyces robustus,Anaeromyces_robustus_S4,1035,71685009,287,671251,38708,69260.88,158,141798,505,40286,16.29,0,2,4
FB9EBF66,Anisogramma anomala,Anisogramma_anomala_OR1,108,342498352,995,43949127,3015,3171281.04,5,33254450,12,11436031,34.33,2,10,6
F072FF26,Annulohypoxylon bovei,Annulohypoxylon_bovei_CBS_124037,496,41758719,1003,669484,26506,84190.97,60,227983,193,57325,43.51,0,4,12
